dats true before it was which has been reduced to kapsology arvindkejriwal,neg
rt amp ask opposition to answer this question or stop the hypocrisy च र _क _ब र त demonetisation ,pos
watch delhi cm arvindkejriwal on how is a complete failure,neg
is a shortcut against black money hartal bandh is a shortcut for protesting against it both affect the poor adversely,pos
only opposition called congress workers everything else is on track as they hv blocked mumbais,pos
pm narendra modi trolls wb cm mamata banerjee with politeness rt amp spread if u like it blackmoney ,pos
bdutt please give me a chance for debate i want to remove my accumulated grudge on ,pos
iabhi_s namoksath kapilsibal is petrified after since most of their revenues might come in cash salmankhurshid,pos
huge blow to middle class rate of intrest reduced to maximum by sbi ,pos
this how common people are responding to narendramodi istandforwhite,pos
congress is the least affected political party due to because built establishment of years has done all the required job,neg
detailed drama of how modi checkmated pakistan s devastating assault via drishtikone,pos
janakroshdiwas अ ध र_नगर _च पट_म द the word inconvenience just got defined differently,neg
cash deficit amp long queues for sbi atms mumbai continue on sunday mayawatinextupcm bsp,neg
five advantages of downloading payment apps and e-wallets post ,pos
friends listen ex-governor of rbi who is saying is useless,neg
fidel castro is dead because of modi s step modi must resign,neg
this weekend would be the most crucial for - salaries pension withdrawal from banks,neg
ashish hclileadertalks is now pushing financial inclution amp lac businesses to assist in cashlesseconomy,pos
modi leela exposed all blackmoney holders च र _क _ब र त benefits ,pos
in other news timesofindia removed much publicized survey b coz said badly executed in spite o,neg
india will get windfall profit of whooping lakh crores in days due to why people like ak pappu,pos
lmao pm modi s hilarious take on sonamgupta sonamguptabewafahai benefits ,pos
how necessary to save amp strengthen our economy from old misdeeds benefits,pos
pay tax on unaccounted deposits or if caught says narendramodi government ,pos
no bharathbandh only protests over congress,neg
opposition will be against ruling party but the way they oppose shows its hasn t just hurt them bu,neg
mp cops arrest -year old critic grab phone delete tweets unable to concoct even vaguely legal-,neg
rbi governor urjit patel surfacing now is a sign of pm modi finally deciding to shi ft the blame of failure,neg
janakroshdiwas jan aakrosh rally at shillai against modi govt due to ,neg
implementation of has been poor while the buck stops with pm real blame for execution lies with the usual suspects in mof,neg
resigning would have been a better option than implementing says pchidambram_in via timesofindia,neg
signature campaign in support of by bjym tamilnadu across tn today place - coimbatore nagar,pos
people waiting to transform to a cashless economy at hdfc bank dlf cyber hub gurgaon day,neg
hats off to narendramodi for taking such a bold move to curb black money says mdmk founder vaiko ,pos
ts is exactly what pappu amp opposition has done to themselves by opposing now none can stop modi ban,neg
geetv political reason behind the to enrich bjp leaders,neg
alert to defeat india amp along with shakuni presstitutes intolerant amp award wapsi gang amp naxal sy,neg
lokpal could be far more effective agnst corruption amp less messier than jainendrakumar,neg
how necessary to save amp strengthen our economy from old misdeeds benefits,pos
glad dimple_kaul wrote this piece highlighting bankers who are the real foot soldiers in ,pos
from surgicalstrike to country happy but rahul crying amitshah benefits,pos
must watch delhities standing in long bank que s praising pm modi s amp cursing thug arvindkejriwal,pos
and now rntata calls one of the three most important economic reforms in india s history alon,pos
च र _क _ब र त has definitely made it easier to identify corrupt men and women,pos
benefits for starters even manmohan singh started to speak and care about common people blackmoney,neg
roll back demonetisationscam,neg
tweet to dna dnarumourbuster with any questions you may have about and we ll give you the real ne,neg
thanks to vegetable price in chennai is down by,pos
janakroshdiwas अ ध र_नगर _च पट_म द the word inconvenience just got defined differently,pos
seeing the huge outrage over hasty implementation of is bjp now trying to shift blame,neg
worse with goi has amply demonstrated that only does it debase the currency but can also change its legal tender at will,neg
join us for a tweetchat with hclnitin on and the rise of cashlesseconomy hclileadertalks,pos
cash deficit amp long queues for sbi atms mumbai continue on sunday mayawatinextupcm bsp,neg
thanks to reduction in crime rate in india black money seems to be the sole reason all probl,pos
pm shared that demand for atm is coming from small villages too ,pos
india will get windfall profit of whooping lakh crores in days due to why people like ak pappu,pos
because of assured to loose punjab arvindkejriwal demands rollback,neg
manakgupta shahnawazbjp means bjp used it s cash before across the country to buy plots,neg
poll is casual labourer in informal economy suffering because of roll-back demonetisation rajya sabha janakroshdiwas rt,neg
benefits poured in the moment narendramodi announced ,pos
nitishkumar supports reports vithikasalomi,pos
why was done only bjp knows buying of land depositing in banks and receiving currency only in notes prior th nov,neg
ashish hclileadertalks change is difficult to move from cash to cashlesstransactions but it will boom,pos
minor inconvenience for major convenience of vijay mallya and friends ,neg
bdutt please give me a chance for debate i want to remove my accumulated grudge on ,neg
unable to enter banks for seven days scrap dealer commits suicide in delhi clusterfuck,neg
nandan nilekani d cong blue eyed corporate honcho n architect of aadhar supports rahul gandhi liste,pos
how necessary to save amp strengthen our economy from old misdeeds benefits,pos
tweet to dna dnarumourbuster with any questions you may have about and we ll give you the real ne,pos
takeaways blackmoney laundering happening thru complicit bank employees jan-dhan accts ne tax laws narendramodi ,neg
- calling all nation to join positive wave on shivanidanibjym ketanmohitkar itsocial_media,pos
bhakths after mannkibaat giving two thumbs up to amp the mess अ ध र_नगर _च पट_म द,pos
ouch india by keshav,neg
s narendra modi meeting people to understand their problems iamwithmodi supportmodi,pos
surprisingly all panamapapers culprits are supporting modi s horrendous amnesty guranteed,neg
man held for depositing fake notes in thane bank via dna,pos
i guess preparations for tomorrow s bharatbandh against are badly hit due to currency shortage total sympathy,neg
rbi is to blame babus are blame common man s suffering modi ji s heart bleeds the poor,neg
bjp lauds nitishkumar for his support attacks other parties for protest,pos
re- introduction of vds for th time in mnths itself is a testimony to the fact that has failed,neg
much as i am concerned about the outcomes of i am not in support of a hartal bandh against it for the very same reasons,neg
rs cr in scrapped notes seized from businessman in pune,neg
retweeted madhusudhan reddy madhuc modifightscorruption blackmoneycleanup iamwithmodi,pos
here s what five ex-rbi governors have to say about narendramodi s drive- is it a historic moment,neg
the decision of currency has been such a high impact on bloody oppositions pagal ho gaye hain sab च र _क _ब र त,pos
united opposition r celebrating aakrosh divas on their own as they r exposed in front of nation,pos
banks in india not following rbi or finminindia circulars they overshadow them dna wsj,neg
without proper alternative measures forced the common people to wander around atms and banks janakroshdiwas,neg
nandan nilekani backs move - the fact is that we have had a shock given to currency system amp this w,neg
some folks are really taking makeinindia to the next level with ,neg
how is gud for us in general -,pos
